100
10	913
22	372
17	410
22	214
8	597
4	925
4	328
17	909
11	101
20	435
15	372
3	820
18	835
19	481
15	649
13	691
3	107
13	255
17	983
23	650
9	231
3	617
21	263
20	889
23	173
6	859
22	480
21	258
5	269
24	329
23	541
15	531
24	824
3	770
2	56
1	653
19	393
16	30
16	323
2	331
17	78
1	401
11	232
18	148
9	495
4	45
13	704
5	85
1	292
22	658
18	868
17	713
23	347
19	183
4	305
24	420
12	705
10	738
1	959
6	296
12	413
16	692
9	34
19	402
23	545
19	426
23	866
16	183
16	140
6	383
11	709
14	793
24	463
25	24
1	868
3	984
18	630
7	285
17	767
20	876
8	492
24	837
18	511
24	657
5	886
20	714
22	682
13	736
22	924
11	656
11	751
23	678
12	996
20	391
25	919
14	291
8	639
4	312
25	418
14	617
